resource_uid,state_abbr,tract_id_alias,source_resource_id,resource_type,system_type,depth_m,n_wellsets_in_tract,res_temp_deg_c,lifetime_resource_per_wellset_mwh,dist_km,county_id
109530,ID,37242,ID422,hydrothermal,isolated system,216.0,1,45.0,2777777.778,0.0,2188
109525,ID,37242,DA047,hydrothermal,delineated area,150.0,17,33.0,298567.58,0.0,2188
109526,ID,37242,DA048,hydrothermal,delineated area,98.0,3,45.0,472804.313,0.0,2188
109524,ID,37242,DA044,hydrothermal,delineated area,91.0,3,53.0,546180.129,0.0,2188
109523,ID,37242,DA043,hydrothermal,delineated area,236.0,25,43.0,482927.659,0.0,2188
109483,ID,24270,ID068,hydrothermal,isolated system,254.0,1,42.0,2500000.0,0.0,2107
109308,ID,24270,ID067,hydrothermal,isolated system,254.0,1,63.0,4444444.444,0.0,2107
109494,ID,3302,DA048,hydrothermal,delineated area,107.0,3,45.0,590755.796,0.0,2188
109522,ID,9399,DA044,hydrothermal,delineated area,289.0,24,53.0,658225.884,0.0,2188
109516,ID,51360,ID186,hydrothermal,isolated system,448.0,1,60.0,4166666.667,0.0,2947
109515,ID,51360,ID182,hydrothermal,isolated system,448.0,1,58.0,3888888.889,0.0,2947
109514,ID,51360,ID180,hydrothermal,isolated system,448.0,1,80.0,5833333.333,0.0,2947
109505,ID,51360,ID165,hydrothermal,isolated system,448.0,1,68.0,4722222.222,0.0,2947
109510,ID,51360,ID172,hydrothermal,isolated system,448.0,1,34.0,1666666.667,0.0,2947
109520,ID,51360,Z120,hydrothermal,isolated system,448.0,1,100.0,10277777.778,0.0,2947
109518,ID,51360,ID181,hydrothermal,isolated system,448.0,1,51.0,3333333.333,0.0,2947
109507,ID,51360,ID167,hydrothermal,isolated system,448.0,1,67.0,4722222.222,0.0,2947
109519,ID,51360,Z116,hydrothermal,isolated system,448.0,1,95.0,9166666.667,0.0,2947
109512,ID,51360,ID176,hydrothermal,isolated system,448.0,1,66.0,4722222.222,0.0,2947
109506,ID,51360,ID166,hydrothermal,isolated system,448.0,1,43.0,2500000.0,0.0,2947
109521,ID,51360,Z123,hydrothermal,isolated system,448.0,1,105.0,11666666.667,0.0,2947
109509,ID,51360,ID171,hydrothermal,isolated system,448.0,1,75.0,5555555.556,0.0,2947
109517,ID,51360,ID187,hydrothermal,isolated system,448.0,1,83.0,6111111.111,0.0,2947
109508,ID,51360,ID168,hydrothermal,isolated system,448.0,1,35.0,1944444.444,0.0,2947
109513,ID,51360,ID177,hydrothermal,isolated system,448.0,1,45.0,2777777.778,0.0,2947
109511,ID,51360,ID173,hydrothermal,isolated system,448.0,1,67.0,4722222.222,0.0,2947
109502,ID,51360,DA066,hydrothermal,delineated area,448.0,2,75.0,967430.363,0.0,2947
109503,ID,30435,ID040,hydrothermal,isolated system,373.0,1,44.0,2500000.0,0.0,2893
